Song_id,Echo_song_id,Echo_artist_id,Artist,Title,MBID,Valence,Arousal,energy,liveliness,tempo,speechiness,acousticness,danceability,instrumental,loudness,valence,key,mode,time,key,Chord_progression
6407,SOTLYMW129F082492A,ARJVTD81187FB51621,Portishead,Pedestal,17e0ef75-fae9-4fa3-b6f6-39a8c986d686,28304,269000,0.481207,0.13333,168.494,0.067693,0.14831,0.58726,0.658705,-10.506,0.421267,0,0,4,Ca,Gbj|Gbm|Gbj|Aaj|Daj|Bbm|Daj|Bbj|Gbm|Dbm|Bbm|Aaj|Dbm|Bbm|Aaj|Cam|Gam|Dbm|Daj|Abj|Dbm|Bbj|Cam|Aaj|Daj|Gbm|Daj|Gbm|Dam|Aaj|Dbm|Aaj|Bbm|Aaj|Bbj|Aaj|Cam|Bbm|Bbj|Dbm|Bbm|Cam|Bbj|Cam|Bbj|Dam|Aaj|Dam|Gbm|Bbm|Daj|Dam|Dbm|Daj|Bbm|Aaj|Cam|Gam|Gbj|Dbm|Gam|Abj|Bbm|Gbj|Aaj|Gbj|Dam|Aaj|Bbm|Dbm|Gbm|Bbj|Aaj|Dbj|Dbm|Aaj|Gam|Aaj|Dam|Dbj|Dbm|Gaj
94650,SOIZGXR1315CD4579F,AR3Q48J1187FB55278,The Rapture,Infatuation,3697647f-1839-479e-98a1-9ad39004d923,28317,353000,0.492146,0.081085,77.181,0.026272,0.236235,0.245329,0.356131,-8.478,0.245266,3,0,4,Eb,Gam|Gbm|Gam|Aam|Cam|Gam|Daj|Gam|Bbj|Gam|Gbj|Gam|Bbj|Caj|Cam|Gam|Daj|Gam|Gbj|Gam|Gbj|Gam|Gbj|Gam|Caj|Cam|Daj|Gam|Bbj|Gam|Bbj|Gam|Bbj|Gam|Bbj|Gam|Eam|Gam
6647,SOLXXRD13167715884,ARH6W4X1187B99274F,Radiohead,We suck young blood,a74b1b7f-71a5-4011-9441-d0b5e4122711,28317,353000,0.239003,0.105071,77.042,0.030929,0.877513,0.135177,0.029243,-11.075,0.037846,3,0,4,Eb,Cam|Dam|Cam|Daj|Gam|Cam|Daj|Caj|Gaj|Ebj|Bbj|Daj|Ebj|Baj|Cam|Dam|Ebm|Cam|Bbj|Aam|Gaj|Ebj|Ebm|Daj|Cam|Dam|Bbj|Cam|Bbj|Aam|Baj|Cam|Daj|Gam|Daj|Cam|Daj|Bbj|Faj|Gaj|Ebj|Dam|Gaj|Cam|Bbj|Dam|Bbj|Cam
6618,SOLRKWE12AF72A7251,ARH6W4X1187B99274F,Radiohead,Backdrifts,a74b1b7f-71a5-4011-9441-d0b5e4122711,28319,381000,0.725143,0.108605,93.05,0.078069,0.646886,0.719822,0.336711,-10.077,0.734006,11,1,4,Ba,Gaj|Gam|Gaj|Caj|Gaj|Gbj|Bbm|Dbj|Gaj|Gam|Gaj|Caj|Gam|Gaj|Gam|Bbm|Dbj|Abj|Gaj|Caj|Gaj|Caj|Bbm|Dbj|Fam|Cam|Gaj|Caj|Gam|Gaj|Caj|Gaj|Caj|Cam|Bbj|Dbj|Caj|Gaj|Gbm|Caj|Cam|Gaj|Caj|Aaj|Gaj|Caj|Bbj|Dbj|Caj|Cam|Gaj|Gam|Caj|Gaj|Caj|Cam|Bbj|Dbj|Dbm|Cam|Gam|Gaj|Caj|Gbj|Gaj|Cam|Gaj|Bbj|Dbj|Caj|Cam|Caj|Gam|Caj|Cam|Caj|Bbm|Fam|Dam|Caj|Gaj|Aaj|Gbj|Bbm|Gaj|Caj|Cam|Gbj|Bbm|Gaj|Cam|Caj|Gaj|Cam|Caj|Gaj|Cam|Caj|Cam|Caj|Gaj|Cam|Caj|Cam|Caj|Gaj|Cam|Caj|Gaj|Cam|Caj|Cam|Gbm|Dbm|Dam|Gbm|Daj|Gaj|Dbm
6403,SOHPHUK139263879FE,ARJVTD81187FB51621,Portishead,Mysterons,17e0ef75-fae9-4fa3-b6f6-39a8c986d686,28331,451000,0.251436,0.110731,164.314,0.25245,0.423392,0.633646,0.00057,-22.189,0.470024,11,1,4,Ba,Bam|Cam|Bam|Cam|Bam|Cam|Bam|Aam|Bam|Gaj|Bam|Gaj|Bam|Gaj|Bam|Cam|Eam|Gaj|Bam|Cam|Bam|Faj|Caj|Bam|Cam|Bam|Gaj|Baj|Gaj|Bam|Cam|Eam|Aam|Eam|Aam|Eam|Gaj|Baj|Gaj|Bam|Cam|Bam|Cam|Bam|Cam|Bam|Caj|Fam|Bam|Cam|Bam|Cam|Bam|Gaj|Bam|Gaj|Bam|Gaj|Bam|Aam|Gaj|Eam|Cam|Eam|Gaj|Aaj|Baj|Bam|Cam|Bam|Cam|Bam|Cam|Bam|Cam|Gaj|Bam|Cam|Bam|Gaj|Bam|Cam|Gaj|Baj|Cam|Bam|Cam|Bam|Cam|Bam|Cam|Bam|Gaj|Cam|Bam|Cam|Bam|Cam|Bam
22877,SOROXKM127F3E1B791,ARH6W4X1187B99274F,Radiohead,Pyramid Song,a74b1b7f-71a5-4011-9441-d0b5e4122711,28332,465000,0.349851,0.103637,79.442,0.03048,0.762966,0.209553,0.330293,-8.81,0.094325,11,0,3,Ba,Gam|Gaj|Gam|Abj|Gam|Gaj|Gam|Gaj|Gam|Faj|Cam|Gaj|Gam|Caj|Gaj|Gam|Caj|Abj|Gaj|Gam|Caj|Abj|Gaj|Gam|Gaj|Gam|Abj|Gam|Gaj|Gam|Ebj|Abj|Gaj|Gam|Gaj|Faj|Abm|Gaj|Gam|Fam|Abj|Gam|Faj|Abj|Gam|Faj|Gaj|Gam|Fam|Gaj|Faj|Cam|Abj|Gam|Abj|Gaj|Ebj|Abj|Gam|Abj|Gam|Abj|Gaj
22893,SOQQVXF13167716222,ARH6W4X1187B99274F,Radiohead,True Love Waits,a74b1b7f-71a5-4011-9441-d0b5e4122711,28333,479000,0.483049,0.689496,113.565,0.036709,0.455119,0.37399,0.00298,-8.821,0.061032,5,1,5,Fa,Gaj|Bam|Eam|Ebj|Gaj|Bam|Eam|Ebj|Gaj|Bam|Eam|Ebj|Gaj|Eam|Gaj|Eam|Dam|Gaj|Bam|Eam|Eaj|Ebj|Gaj|Bam|Eam|Ebj|Gaj|Eam|Daj|Gaj|Bam|Eam|Dam|Ebj|Gaj|Bam|Eam|Ebj|Gaj|Bam|Eam|Ebj|Gaj|Eam|Dam|Daj|Gaj|Eam|Daj|Eam|Caj|Gaj|Gam|Gaj
6631,SOWXIVI1376FE02F69,ARH6W4X1187B99274F,Radiohead,Myxomatosis,a74b1b7f-71a5-4011-9441-d0b5e4122711,28349,620000,0.754789,0.273115,198.138,0.041474,0.000262,0.425419,0.819786,-8.012,0.556304,7,1,4,Ga,Baj|Faj|Baj|Daj|Baj|Gbm|Fam|Baj|Daj|Faj|Gbm|Dam|Gbm|Daj|Faj|Baj|Faj|Daj|Baj|Faj|Baj|Faj|Daj|Fam|Faj|Bam|Baj|Fam|Bbm|Faj|Baj|Dam|Fam|Faj|Baj|Dam|Faj|Gbm|Baj|Faj|Dam|Faj|Aam|Faj|Baj|Bam|Faj|Caj|Faj|Bbm|Fam|Faj|Fam|Faj|Eam|Faj|Baj|Aam|Faj|Dam|Faj|Aam|Faj|Baj|Caj|Bbm|Faj|Dam|Baj|Faj|Bam|Gbm|Faj|Baj|Eam
6620,SOQIBRW1392638B5A3,ARH6W4X1187B99274F,Radiohead,Climbing up the walls,a74b1b7f-71a5-4011-9441-d0b5e4122711,28361,680000,0.280581,0.092616,148.706,0.049456,0.270078,0.563062,0.022838,-18.627,0.411038,9,0,4,Aa,Dam|Bbj|Bam|Dam|Gam|Dam|Eam|Gam|Gaj|Gam|Eam|Gam|Aam|Bbj|Gam|Daj|Dam|Gaj|Gam|Aaj|Gam|Dam|Gam|Bbj|Gam|Dam|Gam|Bbj|Gam|Gaj|Gam|Daj|Gam|Dam
4769,SOAHCXP1311AFE003E,ARMBTFC1187FB56343,Korn,It's gonna go away,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,28376,782000,0.600512,0.152257,64.096,0.032932,0.000692,0.279497,0.196726,-9.451,0.215271,9,1,4,Aa,Caj|Aam|Caj|Faj|Caj|Eam|Caj|Eam|Caj|Eam|Caj|Eam|Caj|Eam|Caj|Faj|Caj|Fam|Gaj
